date,Average trip duration
2019-10-01,1208.1146268656717
2019-10-02,909.9947379073062
2019-10-03,1126.0660829551991
2019-10-04,1354.2632120796156
2019-10-05,1699.1920206659013
2019-10-06,2244.4038518960883
2019-10-07,1008.1026309689383
2019-10-08,1186.795632092148
2019-10-09,1174.423487751074
2019-10-10,1312.5762583095916
2019-10-11,914.7204341317365
2019-10-12,1405.957595954953
2019-10-13,1662.74717554353
2019-10-14,1228.4916213275299
2019-10-15,931.2798375573437
2019-10-16,1153.578767654819
2019-10-17,900.1973597359736
2019-10-18,1206.6992054483542
2019-10-19,2717.078334408371
2019-10-20,2153.789999040215
2019-10-21,933.7816619886025
2019-10-22,1458.6624284806103
2019-10-23,1213.2700791637844
2019-10-24,946.5149313962874
2019-10-25,992.2570948782536
2019-10-26,1835.66416115454
2019-10-27,1775.3144767565273
2019-10-28,895.837181663837
2019-10-29,1157.9145402997165
2019-10-30,1373.2608996539793
2019-10-31,883.935260115607
2019-11-01,856.5946389496718
2019-11-02,1284.4414722064125
2019-11-03,1445.8128280839894
2019-11-04,945.2912261678865
2019-11-05,1120.918006591431
2019-11-06,929.9672970431512
2019-11-07,733.0599520383693
2019-11-08,1209.8405197873597
2019-11-09,1257.0635656041513
2019-11-10,1776.3694061962135
2019-11-11,765.0915363385465
2019-11-12,782.3825986747335
2019-11-13,1421.6209229282435
2019-11-14,857.9456580610218
2019-11-15,772.8600293302917
2019-11-16,1172.8166666666666
2019-11-17,916.8842315369261
2019-11-18,833.6756895445799
2019-11-19,832.4224785407725
2019-11-20,1324.7065725149375
2019-11-21,883.1013845466726
2019-11-22,832.7923016290068
2019-11-23,1821.721244925575
2019-11-24,1402.77087879389
2019-11-25,902.0176327970024
2019-11-26,1218.3052664284605
2019-11-27,936.3122119815669
2019-11-28,1839.8126984126984
2019-11-29,2228.586723071917
2019-11-30,1403.0344603381013
2019-12-01,1698.9830418653949
2019-12-02,825.1685812751292
2019-12-03,1214.3422696512234
2019-12-04,731.0664634146342
2019-12-05,1043.0830678197542
2019-12-06,834.6787148594377
2019-12-07,1143.2676597789525
2019-12-08,1053.6017610062893
2019-12-09,781.0988773747841
2019-12-10,699.7093541202672
2019-12-11,666.4020979020979
2019-12-12,757.7242003621002
2019-12-13,1210.1543086172344
2019-12-14,1483.9974366277413
2019-12-15,898.633270321361
2019-12-16,672.3521248915872
2019-12-17,839.4672693788716
2019-12-18,624.2503149937002
2019-12-19,768.6865225795115
2019-12-20,896.9437521633783
2019-12-21,1309.9636458062841
2019-12-22,1672.6154819124715
2019-12-23,869.1315884476535
2019-12-24,1414.84225996081
2019-12-25,2028.7814049586777
2019-12-26,1455.959317359076
2019-12-27,1106.1049987440342
2019-12-28,1474.888005780347
2019-12-29,1509.7729369554074
2019-12-30,820.4470979443772
2019-12-31,1009.9611694837826
2020-01-01,1694.8206445586175
2020-01-02,1242.7352986572002
2020-01-03,761.3027164685908
2020-01-04,1818.680577345466
2020-01-05,1823.020428336079
2020-01-06,1096.583910646119
2020-01-07,773.2014526517747
2020-01-08,663.4854101670031
2020-01-09,2172.4875073486182
2020-01-10,1553.1348077935756
2020-01-11,876.2549222797927
2020-01-12,863.8204983012457
2020-01-13,701.1504467912266
2020-01-14,842.1773029574076
2020-01-15,1570.9786528198472
2020-01-16,683.7053685168335
2020-01-17,851.045101088647
2020-01-18,1119.60780669145
2020-01-19,1492.2145251396648
2020-01-20,2666.9730559345157
2020-01-21,699.671293618662
2020-01-22,1002.1196953210011
2020-01-23,2265.679490727927
2020-01-24,1063.3762646978398
2020-01-25,1873.976273148148
2020-01-26,3205.508654602675
2020-01-27,720.2937915742793
2020-01-28,852.3758238466147
2020-01-29,806.609759876065
2020-01-30,713.4560523114355
2020-01-31,870.5945099484156
2020-02-01,2972.187578027466
2020-02-02,3926.4266199003137
2020-02-03,727.5528991481176
2020-02-04,737.1603375527426
2020-02-05,691.9033699497301
2020-02-06,1590.1967970434248
2020-02-07,831.8854583571565
2020-02-08,2434.8196974374805
2020-02-09,4391.502476609797
2020-02-10,1211.8266434892541
2020-02-11,1683.1820148331274
2020-02-12,759.9379198046
2020-02-13,1048.2599670510708
2020-02-14,880.2886735716672
2020-02-15,1125.8241042345278
2020-02-16,1421.00614334471
2020-02-17,743.3334257975034
2020-02-18,1183.7071622846781
2020-02-19,757.429144851658
2020-02-20,678.7964511523556
2020-02-21,1044.1321473951716
2020-02-22,3000.348670944088
2020-02-23,2209.926593689633
2020-02-24,677.2595567455005
2020-02-25,699.8297232250301
2020-02-26,723.1738495252009
2020-02-27,693.531381486676
2020-02-28,2801.294315632012
2020-02-29,1188.1022821006325
2020-03-01,2156.6659921759074
2020-03-02,1507.7314937012598
2020-03-03,764.6853248965685
2020-03-04,819.2036684135303
2020-03-05,887.0632482766961
2020-03-06,827.5578364288042
2020-03-07,1553.8132179621066
2020-03-08,2154.026320501343
2020-03-09,825.0104328523862
2020-03-10,845.0334738724927
2020-03-11,858.4203905123837
2020-03-12,1049.8360282668582
2020-03-13,1153.971315529179
2020-03-14,1718.7824773413897
2020-03-15,2004.7420132610007
2020-03-16,958.0143408714837
2020-03-17,1241.6593906321054
2020-03-18,1070.4488151658768
2020-03-19,1902.9110889110889
2020-03-20,1306.9751179751179
2020-03-21,1902.549858889934
2020-03-22,2352.528387585163
2020-03-23,1584.414038657172
2020-03-24,1721.021801727684
2020-03-25,2350.151714783957
2020-03-26,2642.6953125
2020-03-27,6330.358389261745
2020-03-28,1480.4719334719334
2020-03-29,1514.8179329226557
2020-03-30,1148.5376676986584
2020-03-31,2923.342786683107
